"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"197","1, 3, 4, 9, 10",19,11,8,0.00467070804442629,0.00103199174406605,0.00309370711847492,1
"198","1, 2, 3, 4, 6, 9, 10",19,11,8,0.00437566046825408,0.00103199174406605,0.00309370711847492,1
"199","1, 3, 4, 6, 9, 10",19,11,8,0.00432434808418906,0.00103199174406605,0.00309370711847492,1
"200","1, 2, 4, 9, 10",19,11,8,0.00427505074777368,0.00103199174406605,0.00309370711847492,1
"201","1, 2, 3, 4, 9, 10",19,11,8,0.00387288281158423,0.00103199174406605,0.00309370711847492,1
"202","1, 2, 3, 9, 10",19,11,8,0.00357863037645309,0.00103199174406605,0.00309370711847492,1
"203","1, 3, 4, 5, 7, 9, 10",19,11,8,0.00353356807369416,0.00103199174406605,0.00309370711847492,1
"204","1, 3, 9, 10",19,11,8,0.00341120147881196,0.00103199174406605,0.00309370711847492,1
"205","1, 2, 3, 4, 5, 7, 9, 10",19,11,8,0.00334641586536146,0.00103199174406605,0.00309370711847492,1
"206","2, 3, 4, 6, 9, 10",19,11,8,0.00331442506209366,0.00103199174406605,0.00309370711847492,1
"207","1, 3, 6, 9, 10",19,11,8,0.00316365086107359,0.00103199174406605,0.00309370711847492,1
"208","1, 2, 3, 5, 9",19,11,8,0.00313590009129823,0.00103199174406605,0.00309370711847492,1
"209","2, 3, 5, 6, 10",19,11,8,0.00303360868308256,0.00103199174406605,0.00309370711847492,1
"210","1, 4, 9",19,11,8,0.00296822153355232,0.00103199174406605,0.00309370711847492,1
"211","1, 3, 4, 9",19,11,8,0.00292820455882661,0.00103199174406605,0.00309370711847492,1
"212","1, 2, 9, 10",19,11,8,0.00287647799535425,0.00103199174406605,0.00309370711847492,1
"213","1, 2, 4, 9",19,11,8,0.00280916684760666,0.00103199174406605,0.00309370711847492,1
"214","1, 2, 3, 4, 9",19,11,8,0.00277206167684383,0.00103199174406605,0.00309370711847492,1
"215","1, 3, 5, 6, 7, 10",19,11,8,0.00261735777433925,0.00103199174406605,0.00309370711847492,1
"216","1, 2, 3, 6, 9, 10",19,11,8,0.00254109083357598,0.00103199174406605,0.00309370711847492,1
"217","1, 4, 5, 6, 9, 10",19,11,8,0.00227054872633641,0.00103199174406605,0.00309370711847492,1
"218","2, 3, 6, 9, 10",19,11,8,0.00221220341192804,0.00103199174406605,0.00309370711847492,1
"219","2, 3, 5, 6, 7, 10",19,11,8,0.00214472894391774,0.00103199174406605,0.00309370711847492,1
"220","1, 2, 4, 5, 6, 9, 10",19,11,8,0.00209126432646455,0.00103199174406605,0.00309370711847492,1
"221","1, 3, 5, 9",19,11,8,0.00187968674723242,0.00103199174406605,0.00309370711847492,1
"222","2, 3, 4, 5, 7, 9, 10",19,11,8,0.00171458778983322,0.00103199174406605,0.00309370711847492,1
"223","1, 3, 4, 5, 6, 8, 9, 10",19,11,8,0.00150346809570014,0.00103199174406605,0.00309370711847492,1
"224","2, 4, 5, 6, 9, 10",19,11,8,0.00137722687915325,0.00103199174406605,0.00309370711847492,1
"225","1, 2, 3, 4, 5, 6, 8, 9, 10",19,11,8,0.00137321687019798,0.00103199174406605,0.00309370711847492,1
"226","1, 3, 4, 5",19,11,8,0.00115205566162949,0.00103199174406605,0.00309370711847492,1
"227","2, 3, 5, 6, 9, 10",19,11,8,0.00103578422934555,0.00103199174406605,0.00309370711847492,1
"228","3, 4, 9",19,11,8,0.00099082168245735,0.00103199174406605,0.00309370711847492,1
"229","2, 3, 4, 5",19,11,8,0.00098430947105646,0.00103199174406605,0.00309370711847492,1
"230","3, 4, 5",19,11,8,0.000951930934521743,0.00103199174406605,0.00309370711847492,1
